musee,date,nbre
Art Moderne,1978-01-01,206100
Balzac,1978-01-01,11000
Bourdelle,1978-01-01,14000
Carnavalet,1978-01-01,96700
Cernuschi,1978-01-01,14700
Cognacq-Jay,1978-01-01,10700
Mode et costume (Galliera),1978-01-01,32700
Petit Palais,1978-01-01,219500
Victor Hugo,1978-01-01,70600
Art Moderne,1979-01-01,182000
Balzac,1979-01-01,17100
Bourdelle,1979-01-01,10300
Carnavalet,1979-01-01,12820
Cernuschi,1979-01-01,24100
Cognacq-Jay,1979-01-01,12900
Mode et costume (Galliera),1979-01-01,55100
Petit Palais,1979-01-01,194200
Victor Hugo,1979-01-01,67700
Art Moderne,1980-01-01,9940
Balzac,1980-01-01,820
Bourdelle,1980-01-01,980
Carnavalet,1980-01-01,6550
Cernuschi,1980-01-01,1510
Cognacq-Jay,1980-01-01,750
Mode et costume (Galliera),1980-01-01,3600
Petit Palais,1980-01-01,6750
Victor Hugo,1980-01-01,2860
Art Moderne,1981-01-01,45570
Balzac,1981-01-01,860
Bourdelle,1981-01-01,760
Carnavalet,1981-01-01,6080
Cernuschi,1981-01-01,2260
Cognacq-Jay,1981-01-01,900
Mode et costume (Galliera),1981-01-01,3210
Petit Palais,1981-01-01,27210
Victor Hugo,1981-01-01,2730